split,n_images,width_mean,width_std,width_min,width_max,height_mean,height_std,height_min,height_max,area_mean,area_std,short_edge_mean,short_edge_std,short_edge_min,short_edge_max
inspect_train,715,1647.4727272727273,1119.344179625927,262,3840,1347.3552447552447,820.028471671994,192,3620,3089967.1216783216,3803654.6790413773,1347.283916083916,819.8376277076889,192,3617
inspect_val,102,1735.2450980392157,1206.8560861177668,512,3840,1456.7156862745098,901.586548537621,378,3586,3560515.8039215687,4157716.05971915,1456.7156862745098,901.586548537621,378,3586
inspect_test,205,1703.7317073170732,1157.5447610112622,512,3840,1415.1365853658538,871.3952531058118,480,3620,3370649.795121951,4034139.248223272,1415.0536585365853,871.1922088458473,480,3609
