split,n_bboxes,width_mean,width_std,width_min,width_max,width_median,height_mean,height_std,height_min,height_max,height_median,area_mean,area_std,area_min,area_max,area_median,aspect_ratio_mean,aspect_ratio_std,aspect_ratio_min,aspect_ratio_max,aspect_ratio_median,small_width_count,small_height_count,small_width_pct,small_height_pct,extreme_aspect_ratio_count,extreme_aspect_ratio_pct
inspect_train,944,450.45243492958264,443.9207345101419,8.999977111816406,2085.000228881836,222.3781433121975,412.76267378387234,422.11278158671274,7.99994683265686,1513.0,132.5,338575.8209745763,439598.52925313736,77,1048576,6081.5,1.490719638019276,1.7507884149405575,0.0991735537181886,14.470599322577373,0.999999999999,221,210,23.41101694915254,22.245762711864405,104,11.016949152542372
inspect_val,145,431.78935078741443,429.0050235021022,11.000041007995604,1835.0,224.0,380.96901964845915,417.16986583295284,14.0,1024.0,112.0,311226.64137931034,440684.07581106655,151,1048576,7435.0,1.8735469600586079,2.4307531733306114,0.0910789589574858,19.94565217369624,0.9999999999990234,24,29,16.551724137931036,20.0,21,14.482758620689657
inspect_test,265,459.02259049764774,425.43411059517985,11.00006103515625,1459.0793236443164,314.0,416.09805564634746,415.67338139914165,9.0,1024.0,175.0,338264.7924528302,434893.1037318582,131,1048576,7914.0,1.544461165194412,1.6439437284330198,0.0631313131311537,11.88237360238021,0.9999999999990234,45,43,16.9811320754717,16.22641509433962,30,11.320754716981133
